0  14  2.53320e+06  0.00000e+00  1.39508e+02 -1.00000e+04  0.00000e+00 -9.31017e+03
120  10  6.32599e+01  0.00000e+00 -4.38433e+03 -4.39712e+03  1.23427e+03  3.59751e+09
121  10  8.05856e+01  0.00000e+00 -4.38395e+03 -4.39959e+03  1.23441e+03  3.62749e+09
122  10  6.04908e+01  0.00000e+00 -4.38324e+03 -4.39748e+03  1.23426e+03  3.65747e+09
123  13  1.04138e+02  0.00000e+00 -4.38457e+03 -4.39778e+03  1.23425e+03  3.68745e+09
124  12  5.22815e+01  0.00000e+00 -4.38378e+03 -4.39764e+03  1.23427e+03  3.71742e+09
125  10  3.66736e+01  0.00000e+00 -4.38510e+03 -4.39744e+03  1.23429e+03  3.74740e+09
126  12  1.33232e+02  0.00000e+00 -4.38285e+03 -4.40024e+03  1.23424e+03  3.77738e+09
127   8  1.23198e+01  0.00000e+00 -4.38819e+03 -4.40653e+03  1.31676e+03  3.80736e+09
128  10  6.83963e+01  0.00000e+00 -4.38326e+03 -4.39810e+03  1.23422e+03  3.83734e+09
129   8  3.24157e+01  0.00000e+00 -4.38609e+03 -4.39242e+03  1.17080e+03  3.86732e+09
130  10  7.32194e+01  0.00000e+00 -4.38283e+03 -4.39842e+03  1.23420e+03  3.89730e+09
131  11  7.95154e+01  0.00000e+00 -4.38442e+03 -4.39744e+03  1.23422e+03  3.92728e+09
132  13  1.20375e+02  0.00000e+00 -4.38338e+03 -4.39890e+03  1.23424e+03  3.95726e+09
133  11  1.00537e+02  0.00000e+00 -4.38404e+03 -4.39850e+03  1.23423e+03  3.98724e+09
134  12  9.85941e+01  0.00000e+00 -4.38170e+03 -4.39383e+03  1.24198e+03  4.01722e+09
135  10  5.33181e+01  0.00000e+00 -4.38356e+03 -4.39755e+03  1.23422e+03  4.04720e+09
136  13  6.51836e+01  0.00000e+00 -4.38378e+03 -4.39779e+03  1.23424e+03  4.07718e+09
137  11  1.06208e+02  0.00000e+00 -4.38356e+03 -4.40006e+03  1.24215e+03  4.10716e+09
138  11  8.64258e+01  0.00000e+00 -4.38356e+03 -4.39925e+03  1.23426e+03  4.13713e+09
139   9  2.72411e+01  0.00000e+00 -4.38312e+03 -4.39060e+03  1.27277e+03  4.16711e+09
140   9  3.83744e+01  0.00000e+00 -4.38404e+03 -4.39816e+03  1.23425e+03  4.19709e+09
141  10  4.18759e+01  0.00000e+00 -4.38435e+03 -4.39791e+03  1.23426e+03  4.22707e+09
142  10  4.29651e+01  0.00000e+00 -4.38316e+03 -4.39910e+03  1.23426e+03  4.25705e+09
143  13  7.54149e+01  0.00000e+00 -4.38604e+03 -4.39764e+03  1.23426e+03  4.28703e+09
144   9  7.59509e+01  0.00000e+00 -4.38234e+03 -4.38862e+03  1.25183e+03  4.31701e+09
145  12  6.65542e+01  0.00000e+00 -4.38325e+03 -4.39739e+03  1.23424e+03  4.34699e+09
146  14  1.14206e+02  0.00000e+00 -4.38314e+03 -4.40132e+03  1.23433e+03  4.37697e+09
147  11  8.07042e+01  0.00000e+00 -4.38429e+03 -4.39926e+03  1.23425e+03  4.40695e+09
148  11  3.60745e+01  0.00000e+00 -4.38558e+03 -4.39644e+03  1.23428e+03  4.43693e+09
149  13  1.22286e+02  0.00000e+00 -4.38448e+03 -4.39803e+03  1.23428e+03  4.46691e+09
150  10  7.70692e+01  0.00000e+00 -4.38475e+03 -4.40411e+03  1.23883e+03  4.49689e+09
151  11  1.00131e+02  0.00000e+00 -4.38230e+03 -4.38764e+03  1.26706e+03  4.52686e+09
152   9  2.48445e+01  0.00000e+00 -4.38568e+03 -4.39660e+03  1.23409e+03  4.55684e+09
153   9  2.43243e+01  0.00000e+00 -4.38439e+03 -4.38402e+03  1.16469e+03  4.58682e+09
154  11  6.67728e+01  0.00000e+00 -4.38231e+03 -4.39831e+03  1.23426e+03  4.61680e+09
155  11  9.47425e+01  0.00000e+00 -4.38163e+03 -4.39117e+03  1.24491e+03  4.64678e+09
156  12  6.63112e+01  0.00000e+00 -4.38303e+03 -4.39845e+03  1.23427e+03  4.67676e+09
157   9  2.98351e+01  0.00000e+00 -4.38442e+03 -4.39875e+03  1.23447e+03  4.70674e+09
